"","baseMean","log2FoldChange","pvalue","padj","Phylum","Class","Order","Family","Genus","DifferentaillyAbundant"
"528421",35.1763962324814,6.19119714687224,6.2816272830219e-10,5.45245248166301e-07,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","DC"
"339013",11.2278752161098,-4.66058710616747,6.36748366152627e-06,0.0003454359886378,"p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","CeD"
"316496",40.661853790072,3.46360441770558,0.000205524430828707,0.00302364755863251,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","DC"
"305288",30.6187053240503,4.39673494747389,0.000857169707838539,0.00885742031433157,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","DC"
"271013",10.0009865685014,4.65528995135271,8.63916244678001e-06,0.000394673315989739,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","DC"
"183460",31.6155750196473,2.94736393858234,2.45385668822988e-05,0.000841576992836127,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","DC"
"367213",750.301021470422,2.76235678571711,2.25074483922732e-05,0.000822607890626726,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","DC"
"1097359",29.6777769019054,5.79550458736355,0.000145097402382378,0.00242201048592123,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","DC"
"813217",1576.44304070601,3.40350047184503,0.000107051213856972,0.00211182849154209,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","DC"
"299879",82.4048335172805,-4.91242750089336,6.95528622346413e-05,0.00164133761876394,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Leuconostocaceae","g__","CeD"
"1039594",15.4043491141397,3.70503271261701,0.000243974207772038,0.0032579940360943,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","DC"
